id,vin_number,model,production_year
1,1HFE865U215DEZ1CT,Volkswagen Tiguan,2020
2,AUMH9DM65R6NNG2W7,Lexus RX,2023
3,PC42EJ5E6RHWPAPND,Nissan Altima,2022
4,AFAWRHEL3E2LSH4DL,Subaru Forester,2016
5,W9G8FGUSPE8ZY5379,Hyundai Elantra,2021
6,RRWG07HM7JUAW0GZB,Mercedes-Benz C-Class,2014
7,C9PA0LY17PKF3F55Y,Ford Explorer,2022
8,8XAGUDCKSPVV7FE4M,Chevrolet Equinox,2010
9,043E42M4ZFHYD8XFX,Tesla Model 3,2014
10,UNUTW363SM6FCCV8U,Tesla Model 3,2013
11,V6305FATYXDS3AR0R,Toyota RAV4,2018
12,Y9CJD33L33XZA3Z5B,Mazda CX-5,2016
13,S7F25TLGDLFGS8KWL,Kia Sportage,2016
14,64DZG8N4FPJAVK0K6,Subaru Forester,2011
15,9HJDMDGZYG35UH20M,Tesla Model 3,2012
16,VU07492P9U82KP2ND,Honda CR-V,2016
17,T9FABT1BMTFHA6R2X,Mercedes-Benz C-Class,2023
18,EE1CSMH4HNZSM17GB,Subaru Forester,2021
19,UNLUZ7RCG2U0CPU4M,Jeep Grand Cherokee,2020
20,ZKTLSJ8CTRBKS0KJD,Chevrolet Silverado,2015
21,VDZXA5JZM5FKEC912,Chevrolet Silverado,2019
22,CRYSF906UEBW3F7W8,Nissan Altima,2024
23,LVZUVAXVGFHYFHV4J,Tesla Model 3,2023
24,589ER9D4TTMWT3DTR,Tesla Model 3,2020
25,RX0NKRTEYEHUY1RMS,Ford Explorer,2024
26,1S15U8WB3GRLDWLMR,Tesla Model 3,2010
27,13NE421FC19F8X7DW,Honda CR-V,2022
28,7AK61KRSC4F6K72NU,Ford F-150,2024
29,M0TY6UPW9UBHXWUHL,Ford Explorer,2012
30,FWRM1YLBYDNGMHH0C,BMW 3 Series,2012
31,FXYV15JESFKPXNUMN,Jeep Grand Cherokee,2021
32,E7CL7BCDXHJ6CJEPB,Ford F-150,2024
33,23J8Y60JXXVMB3GX7,Tesla Model 3,2019
34,399K5F7TERVVKUK36,Ford F-150,2018
35,5AFB4A0TVXJ2EJJW4,Mazda CX-5,2017
36,CU7E9H943AKJV7WKS,Honda CR-V,2017
37,52ULG15E1H2BXVHBU,Subaru Forester,2014
38,TML6AMTYJS2W5LGL7,Ford Explorer,2018
39,WT3CPYV3DH8JVY71F,Mercedes-Benz C-Class,2016
40,T5E7W79YJZHTXXFW9,Nissan Altima,2013
41,4HTMZH0JKY9VXNMRW,Nissan Altima,2024
42,ET2LXRR9Y28ZM6V6W,Lexus RX,2016
43,4XGMS5MRLY24FJE5U,Chevrolet Silverado,2016
44,K12L3JNPU9FTBAB5R,BMW 3 Series,2019
45,9EWGWG0WJA4VNKUGW,Ford Explorer,2016
46,6FRNJJ1SH03YJENEC,Chevrolet Silverado,2023
47,2KV2P85JLTBC8PZHA,Mercedes-Benz C-Class,2013
48,7W49ESP5S0G7WPGRP,Toyota Camry,2012
49,LE4WKT7822KY76F8R,Hyundai Elantra,2016
50,9T6YTH2PDVVFP6PN3,Ford F-150,2022
51,5D13MF8D4DDEM90H9,Ford Explorer,2011
52,180NFL1BG38T74XVP,Nissan Altima,2023
53,E2KW13XSU6YV45L94,BMW 3 Series,2022
54,RJWZU67DUVETMWST6,Honda CR-V,2012
55,P9X4555U6P83M7TNU,BMW 3 Series,2017
56,N6ZD9XE6NP7HEU1H1,Honda Civic,2015
57,0B9S4915DRTWMAPKL,Honda Civic,2010
58,A35HVUYVTHDZ7NU7J,Volkswagen Tiguan,2013
59,K2ES30DKD8GJL70YU,Mercedes-Benz C-Class,2015
60,EZN4S2U1W4LUSTJ7S,Toyota Camry,2022
61,P5U6FUS5SKMEMA4Z7,Chevrolet Silverado,2011
62,N9F69GCB94BYWVLL9,Jeep Grand Cherokee,2023
63,KH3NZ4KWV23PJ45ZR,Kia Sportage,2019
64,CLXZ93V6M5ZB2FVVA,Chevrolet Silverado,2022
65,M3M4M6RJG9M59NKS8,Tesla Model 3,2021
66,M85UZP1PKBDMYCE89,Toyota Camry,2020
67,2M8R9ABAV2TPFVJVE,Tesla Model 3,2012
68,PVWJRZTAC8G3XP67J,Ford Explorer,2021
69,9U5EVN1T3SZPFR5PE,BMW 3 Series,2024
70,M982JX8XV051GD9U7,Lexus RX,2018
71,3FTW47Y1ZF9JU0NFT,Toyota Camry,2017
72,4ZZ1RX2RPG1N4NF6M,Volkswagen Tiguan,2021
73,BWXB84W2JC2C2LKZS,Chevrolet Equinox,2020
74,CJN3MH7PUSVRMBYYP,Jeep Grand Cherokee,2022
75,U5UBJL65LJKVUAVNV,Ford F-150,2018
76,34SPZA19V284FPPR2,Mazda CX-5,2022
77,V48PSLHF71BYR7GGV,Ford F-150,2023
78,C784VBV5LN4JKABPZ,Subaru Forester,2014
79,Y1PPW854KSXTT48L4,Honda CR-V,2013
80,B8UZ379KAALENJ5GC,BMW 3 Series,2020
81,K5ZA9AM2152GDT1YJ,Jeep Grand Cherokee,2013
82,SKW43AVTXWDM9LLNS,Lexus RX,2011
83,LFW7HVF963JRTFALL,Mazda CX-5,2015
